date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-05-07,SKU02329,749,0,7,132
2025-05-07,SKU02376,303,0,7,82
2025-05-07,SKU02408,178,0,7,30
2025-05-07,SKU02533,325,0,7,64
2025-05-07,SKU02546,226,0,7,48
2025-05-07,SKU02570,283,0,7,75
2025-05-07,SKU02626,225,0,7,47
2025-05-07,SKU02768,463,0,7,98
2025-05-07,SKU02877,142,0,7,24
2025-05-07,SKU02938,315,0,7,67
2025-05-07,SKU02969,299,0,7,96
2025-05-07,SKU03031,588,0,7,98
2025-05-07,SKU03043,380,0,7,91
2025-05-07,SKU03115,245,0,7,78
2025-05-07,SKU03129,242,0,7,41
2025-05-07,SKU03139,469,0,7,97
2025-05-07,SKU03173,369,0,7,83
2025-05-07,SKU03281,658,0,7,158
2025-05-07,SKU03290,335,0,7,60
2025-05-07,SKU03291,287,0,7,68
2025-05-07,SKU03362,358,0,7,91
2025-05-07,SKU03414,189,0,7,49
2025-05-07,SKU03484,479,0,7,86
2025-05-07,SKU03592,212,0,7,47
2025-05-07,SKU03609,277,0,7,50
2025-05-07,SKU03709,217,0,7,60
2025-05-07,SKU03807,247,0,7,45
2025-05-07,SKU03837,158,0,7,28
2025-05-07,SKU03892,407,0,7,69
2025-05-07,SKU03935,222,0,7,40
2025-05-07,SKU03966,493,0,7,83
2025-05-07,SKU04062,88,0,7,28
2025-05-07,SKU04147,436,0,7,78
2025-05-07,SKU04153,223,0,7,68
2025-05-07,SKU04194,263,0,7,44
2025-05-07,SKU04388,72,0,7,22
2025-05-07,SKU04414,299,0,7,62
2025-05-07,SKU04468,143,0,7,30
2025-05-07,SKU04475,345,0,7,90
2025-05-07,SKU04499,179,0,7,36
2025-05-07,SKU04580,224,0,7,69
2025-05-07,SKU04654,362,0,7,98
2025-05-07,SKU04665,161,0,7,41
2025-05-07,SKU04856,335,0,7,83
2025-05-07,SKU04902,252,0,7,64
2025-05-07,SKU04945,198,0,7,38
2025-05-08,SKU00032,312,0,7,75
2025-05-08,SKU00105,175,0,7,33
2025-05-08,SKU00237,383,0,7,97
2025-05-08,SKU00240,165,0,7,34
2025-05-08,SKU00262,527,0,7,99
2025-05-08,SKU00305,649,0,7,122
2025-05-08,SKU00331,572,0,7,127
2025-05-08,SKU00419,330,0,7,79
2025-05-08,SKU00516,461,0,7,81
2025-05-08,SKU00535,173,0,7,46
2025-05-08,SKU00550,312,0,7,56
2025-05-08,SKU00592,323,0,7,72
2025-05-08,SKU00649,359,0,7,96
2025-05-08,SKU00679,223,0,7,39
2025-05-08,SKU00682,265,0,7,54
2025-05-08,SKU00721,499,0,7,96
2025-05-08,SKU00734,166,0,7,41
2025-05-08,SKU00821,671,0,7,140
2025-05-08,SKU00855,258,0,7,61
2025-05-08,SKU00858,586,0,7,135
2025-05-08,SKU00954,285,0,7,59
2025-05-08,SKU00986,419,0,7,96
2025-05-08,SKU00987,336,0,7,74
2025-05-08,SKU00991,214,0,7,52
2025-05-08,SKU01031,204,0,7,56
2025-05-08,SKU01042,162,0,7,43
2025-05-08,SKU01046,76,0,7,24
2025-05-08,SKU01063,87,0,7,20
2025-05-08,SKU01075,196,0,7,46
2025-05-08,SKU01171,476,0,7,98
2025-05-08,SKU01179,442,0,7,91
2025-05-08,SKU01191,489,0,7,91
2025-05-08,SKU01337,192,0,7,52
2025-05-08,SKU01339,318,0,7,71
2025-05-08,SKU01568,252,0,7,42
2025-05-08,SKU01675,380,0,7,78
2025-05-08,SKU01792,335,0,7,57
2025-05-08,SKU02112,318,0,7,62
2025-05-08,SKU02223,352,0,7,81
2025-05-08,SKU02255,275,0,7,69
2025-05-08,SKU02277,459,0,7,84
2025-05-08,SKU02279,436,0,7,83
2025-05-08,SKU02290,549,0,7,128
2025-05-08,SKU02331,359,0,7,84
2025-05-08,SKU02421,259,0,7,53
2025-05-08,SKU02541,364,0,7,99
2025-05-08,SKU02584,124,0,7,21
2025-05-08,SKU02590,883,0,7,212
2025-05-08,SKU02639,459,0,7,95
2025-05-08,SKU02686,468,0,7,85
2025-05-08,SKU02915,260,0,7,82
2025-05-08,SKU02964,229,0,7,64
2025-05-08,SKU02969,541,0,7,96
2025-05-08,SKU03058,185,0,7,45
2025-05-08,SKU03108,313,0,7,81
2025-05-08,SKU03152,280,0,7,64
2025-05-08,SKU03251,400,0,7,72
2025-05-08,SKU03254,116,0,7,20
2025-05-08,SKU03266,314,0,7,60
2025-05-08,SKU03277,168,0,7,53
2025-05-08,SKU03311,561,0,7,139
2025-05-08,SKU03349,168,0,7,32
2025-05-08,SKU03454,438,0,7,78
2025-05-08,SKU03523,237,0,7,47
2025-05-08,SKU03574,164,0,7,43
2025-05-08,SKU03583,248,0,7,66
2025-05-08,SKU03600,163,0,7,51
2025-05-08,SKU03634,119,0,7,23
2025-05-08,SKU03642,199,0,7,53
2025-05-08,SKU03805,93,0,7,29
2025-05-08,SKU03822,947,0,7,181
2025-05-08,SKU03931,513,0,7,122
2025-05-08,SKU03935,207,0,7,46
2025-05-08,SKU03941,212,0,7,38
2025-05-08,SKU03950,212,0,7,59
2025-05-08,SKU03968,126,0,7,24
2025-05-08,SKU04106,213,0,7,68
2025-05-08,SKU04118,208,0,7,69
2025-05-08,SKU04212,212,0,7,41
2025-05-08,SKU04215,150,0,7,26
2025-05-08,SKU04217,134,0,7,31
2025-05-08,SKU04250,387,0,7,79
2025-05-08,SKU04261,112,0,7,34
2025-05-08,SKU04388,618,0,7,124
2025-05-08,SKU04468,515,0,7,124
2025-05-08,SKU04605,208,0,7,50
2025-05-08,SKU04653,100,0,7,26
2025-05-08,SKU04670,857,0,7,228
2025-05-08,SKU04741,223,0,7,39
2025-05-08,SKU04953,206,0,7,60
2025-05-09,SKU00186,233,0,7,54
2025-05-09,SKU00342,329,0,7,82
2025-05-09,SKU00402,183,0,7,43
2025-05-09,SKU00421,146,0,7,34
2025-05-09,SKU00466,145,0,7,26
2025-05-09,SKU00507,452,0,7,90
2025-05-09,SKU00589,309,0,7,69
2025-05-09,SKU00592,590,0,7,121
2025-05-09,SKU00598,304,0,7,91
2025-05-09,SKU00638,119,0,7,20
2025-05-09,SKU00721,453,0,7,81
2025-05-09,SKU00732,118,0,7,26
2025-05-09,SKU00734,131,0,7,27
2025-05-09,SKU00749,340,0,7,77
2025-05-09,SKU00758,442,0,7,99
2025-05-09,SKU00821,251,0,7,55
2025-05-09,SKU00855,154,0,7,37
2025-05-09,SKU00858,379,0,7,76
2025-05-09,SKU00894,393,0,7,70
2025-05-09,SKU00972,124,0,7,25
2025-05-09,SKU01158,182,0,7,39
2025-05-09,SKU01167,129,0,7,43
2025-05-09,SKU01229,616,0,7,136
2025-05-09,SKU01356,159,0,7,36
2025-05-09,SKU01392,299,0,7,86
2025-05-09,SKU01766,128,0,7,24
2025-05-09,SKU01792,548,0,7,105
2025-05-09,SKU01818,223,0,7,69
2025-05-09,SKU01827,440,0,7,83
2025-05-09,SKU01854,419,0,7,99
2025-05-09,SKU01880,256,0,7,83
2025-05-09,SKU01903,250,0,7,44
2025-05-09,SKU01911,166,0,7,34
2025-05-09,SKU01919,254,0,7,77
2025-05-09,SKU01970,474,0,7,84
2025-05-09,SKU01986,255,0,7,79
2025-05-09,SKU02128,226,0,7,50
2025-05-09,SKU02194,113,0,7,21
2025-05-09,SKU02221,367,0,7,66
2025-05-09,SKU02267,526,0,7,99
2025-05-09,SKU02376,449,0,7,82
2025-05-09,SKU02425,306,0,7,66
2025-05-09,SKU02446,304,0,7,54
2025-05-09,SKU02501,238,0,7,50
2025-05-09,SKU02514,373,0,7,68
2025-05-09,SKU02519,293,0,7,57
2025-05-09,SKU02533,353,0,7,78
2025-05-09,SKU02541,251,0,7,57
2025-05-09,SKU02566,488,0,7,85
2025-05-09,SKU02567,70,0,7,21
2025-05-09,SKU02570,487,0,7,85
2025-05-09,SKU02700,430,0,7,74
2025-05-09,SKU02728,452,0,7,94
2025-05-09,SKU02794,545,0,7,133
2025-05-09,SKU02897,384,0,7,73
2025-05-09,SKU02964,453,0,7,89
2025-05-09,SKU02999,364,0,7,96
2025-05-09,SKU03090,147,0,7,30
2025-05-09,SKU03129,481,0,7,95
2025-05-09,SKU03139,359,0,7,87
2025-05-09,SKU03150,374,0,7,86
2025-05-09,SKU03220,242,0,7,46
2025-05-09,SKU03251,341,0,7,62
2025-05-09,SKU03257,167,0,7,46
2025-05-09,SKU03277,358,0,7,82
2025-05-09,SKU03281,475,0,7,100
2025-05-09,SKU03284,219,0,7,68
2025-05-09,SKU03290,382,0,7,71
2025-05-09,SKU03291,91,0,7,23
2025-05-09,SKU03311,412,0,7,80
2025-05-09,SKU03357,131,0,7,33
2025-05-09,SKU03491,244,0,7,58
2025-05-09,SKU03504,203,0,7,48
2025-05-09,SKU03548,497,0,7,92
2025-05-09,SKU03603,445,0,7,87
2025-05-09,SKU03609,109,0,7,31
2025-05-09,SKU03634,335,0,7,66
2025-05-09,SKU03744,556,0,7,116
2025-05-09,SKU03805,220,0,7,45
2025-05-09,SKU03822,541,0,7,98
2025-05-09,SKU03833,184,0,7,53
2025-05-09,SKU03892,350,0,7,71
2025-05-09,SKU03932,842,0,7,167
2025-05-09,SKU03935,69,0,7,20
2025-05-09,SKU03950,85,0,7,28
2025-05-09,SKU03968,405,0,7,76
2025-05-09,SKU04073,132,0,7,38
2025-05-09,SKU04102,315,0,7,98
2025-05-09,SKU04212,150,0,7,31
2025-05-09,SKU04215,213,0,7,58
2025-05-09,SKU04217,256,0,7,69
2025-05-09,SKU04228,344,0,7,98
2025-05-09,SKU04261,103,0,7,33
2025-05-09,SKU04281,166,0,7,32
2025-05-09,SKU04468,692,0,7,119
2025-05-09,SKU04504,146,0,7,39
2025-05-09,SKU04566,209,0,7,60
2025-05-09,SKU04605,81,0,7,25
2025-05-09,SKU04612,147,0,7,44
2025-05-09,SKU04636,222,0,7,55
2025-05-09,SKU04641,295,0,7,79
2025-05-09,SKU04664,491,0,7,84
2025-05-09,SKU04690,293,0,7,79
2025-05-09,SKU04726,85,0,7,23
2025-05-09,SKU04741,221,0,7,49
2025-05-09,SKU04757,300,0,7,78
2025-05-09,SKU04849,72,0,7,24
2025-05-09,SKU04879,188,0,7,45
2025-05-09,SKU04902,322,0,7,68
2025-05-09,SKU04919,447,0,7,90
2025-05-09,SKU04941,262,0,7,48
2025-05-10,SKU00075,434,0,7,110
2025-05-10,SKU00090,480,0,7,89
2025-05-10,SKU00150,161,0,7,53
2025-05-10,SKU00170,83,0,7,21
2025-05-10,SKU00354,381,0,7,67
2025-05-10,SKU00401,166,0,7,28
2025-05-10,SKU00419,84,0,7,22
2025-05-10,SKU00532,113,0,7,33
2025-05-10,SKU00574,268,0,7,56
2025-05-10,SKU00650,67,0,7,21
2025-05-10,SKU00654,412,0,7,94
2025-05-10,SKU00732,97,0,7,20
2025-05-10,SKU00788,413,0,7,94
2025-05-10,SKU00858,210,0,7,53
2025-05-10,SKU00936,469,0,7,84
2025-05-10,SKU01017,432,0,7,77
2025-05-10,SKU01038,226,0,7,43
2025-05-10,SKU01042,406,0,7,68
2025-05-10,SKU01046,276,0,7,83
2025-05-10,SKU01075,379,0,7,64
2025-05-10,SKU01133,157,0,7,48
2025-05-10,SKU01167,119,0,7,22
2025-05-10,SKU01310,355,0,7,78
2025-05-10,SKU01407,681,0,7,159
2025-05-10,SKU01433,278,0,7,59
2025-05-10,SKU01495,235,0,7,52
2025-05-10,SKU01558,269,0,7,88
2025-05-10,SKU01567,442,0,7,83
2025-05-10,SKU01568,324,0,7,96
2025-05-10,SKU01678,412,0,7,93
2025-05-10,SKU01827,102,0,7,29
2025-05-10,SKU01880,328,0,7,67
2025-05-10,SKU01919,146,0,7,33
2025-05-10,SKU01939,362,0,7,92
2025-05-10,SKU01970,311,0,7,94
2025-05-10,SKU01971,411,0,7,92
2025-05-10,SKU02014,181,0,7,37
2025-05-10,SKU02038,380,0,7,66
2025-05-10,SKU02094,304,0,7,54
2025-05-10,SKU02103,281,0,7,65
2025-05-10,SKU02112,535,0,7,100
2025-05-10,SKU02164,232,0,7,52
2025-05-10,SKU02217,89,0,7,25
2025-05-10,SKU02329,527,0,7,88
2025-05-10,SKU02351,272,0,7,57
2025-05-10,SKU02463,149,0,7,29
2025-05-10,SKU02472,237,0,7,50
2025-05-10,SKU02501,397,0,7,81
2025-05-10,SKU02514,415,0,7,79
2025-05-10,SKU02576,139,0,7,32
2025-05-10,SKU02584,289,0,7,85
2025-05-10,SKU02728,356,0,7,100
2025-05-10,SKU02938,93,0,7,26
2025-05-10,SKU02946,366,0,7,100
2025-05-10,SKU03043,295,0,7,69
2025-05-10,SKU03090,563,0,7,136
2025-05-10,SKU03152,114,0,7,27
2025-05-10,SKU03192,410,0,7,74
2025-05-10,SKU03220,596,0,7,118
2025-05-10,SKU03235,199,0,7,62
2025-05-10,SKU03311,188,0,7,36
2025-05-10,SKU03357,262,0,7,58
2025-05-10,SKU03375,282,0,7,85
2025-05-10,SKU03436,116,0,7,23
2025-05-10,SKU03441,324,0,7,77
2025-05-10,SKU03580,113,0,7,24
2025-05-10,SKU03592,123,0,7,24
2025-05-10,SKU03621,330,0,7,71
2025-05-10,SKU03634,197,0,7,33
2025-05-10,SKU03737,392,0,7,80
2025-05-10,SKU03822,332,0,7,59
2025-05-10,SKU03863,437,0,7,94
2025-05-10,SKU03884,270,0,7,60
2025-05-10,SKU03892,209,0,7,58
2025-05-10,SKU03950,346,0,7,76
2025-05-10,SKU03966,166,0,7,44
2025-05-10,SKU03991,261,0,7,60
2025-05-10,SKU04053,193,0,7,48
2025-05-10,SKU04062,518,0,7,91
2025-05-10,SKU04249,234,0,7,44
2025-05-10,SKU04250,348,0,7,79
2025-05-10,SKU04292,230,0,7,66
2025-05-10,SKU04352,483,0,7,98
2025-05-10,SKU04442,339,0,7,63
2025-05-10,SKU04470,365,0,7,78
2025-05-10,SKU04491,366,0,7,86
2025-05-10,SKU04504,219,0,7,49
2025-05-10,SKU04554,213,0,7,53
2025-05-10,SKU04679,293,0,7,90
2025-05-10,SKU04693,366,0,7,77
2025-05-10,SKU04747,179,0,7,57
2025-05-10,SKU04757,306,0,7,54
2025-05-10,SKU04795,221,0,7,43
2025-05-10,SKU04798,429,0,7,88
2025-05-10,SKU04856,321,0,7,55
2025-05-10,SKU04887,437,0,7,95
2025-05-10,SKU04901,362,0,7,77
2025-05-10,SKU04919,339,0,7,88
2025-05-10,SKU04987,284,0,7,84
2025-05-10,SKU04996,243,0,7,49
2025-05-10,SKU05000,286,0,7,83
2025-05-11,SKU00069,440,0,7,80
2025-05-11,SKU00083,438,0,7,83
2025-05-11,SKU00140,168,0,7,50
2025-05-11,SKU00155,366,0,7,75
2025-05-11,SKU00251,405,0,7,84
2025-05-11,SKU00305,254,0,7,70
2025-05-11,SKU00317,244,0,7,43
2025-05-11,SKU00419,459,0,7,98
2025-05-11,SKU00466,258,0,7,64
2025-05-11,SKU00553,296,0,7,56
2025-05-11,SKU00654,67,0,7,21
2025-05-11,SKU00682,327,0,7,71
2025-05-11,SKU00758,224,0,7,64
2025-05-11,SKU00932,264,0,7,74
2025-05-11,SKU00954,369,0,7,69
2025-05-11,SKU00986,186,0,7,48
2025-05-11,SKU01063,300,0,7,86
2025-05-11,SKU01167,424,0,7,126
2025-05-11,SKU01179,409,0,7,70
2025-05-11,SKU01191,441,0,7,114
2025-05-11,SKU01256,68,0,7,21
2025-05-11,SKU01318,140,0,7,38
2025-05-11,SKU01337,500,0,7,111
2025-05-11,SKU01495,275,0,7,50
2025-05-11,SKU01568,224,0,7,45
2025-05-11,SKU01605,281,0,7,47
2025-05-11,SKU01678,409,0,7,97
2025-05-11,SKU01857,246,0,7,65
2025-05-11,SKU01863,346,0,7,67
2025-05-11,SKU01911,398,0,7,88
2025-05-11,SKU01915,119,0,7,30
2025-05-11,SKU01981,313,0,7,54
2025-05-11,SKU02070,241,0,7,52
2025-05-11,SKU02129,431,0,7,73
2025-05-11,SKU02223,269,0,7,86
2025-05-11,SKU02224,592,0,7,99
2025-05-11,SKU02277,294,0,7,52
2025-05-11,SKU02302,92,0,7,25
2025-05-11,SKU02329,315,0,7,73
2025-05-11,SKU02365,383,0,7,71
2025-05-11,SKU02386,268,0,7,87
2025-05-11,SKU02446,208,0,7,40
2025-05-11,SKU02472,224,0,7,39
2025-05-11,SKU02514,405,0,7,88
2025-05-11,SKU02519,340,0,7,60
2025-05-11,SKU02534,399,0,7,74
2025-05-11,SKU02570,537,0,7,94
2025-05-11,SKU02584,333,0,7,57
2025-05-11,SKU02842,497,0,7,94
2025-05-11,SKU02911,141,0,7,35
2025-05-11,SKU03043,218,0,7,40
2025-05-11,SKU03073,406,0,7,87
2025-05-11,SKU03129,299,0,7,52
2025-05-11,SKU03257,164,0,7,41
2025-05-11,SKU03281,530,0,7,89
2025-05-11,SKU03290,260,0,7,45
2025-05-11,SKU03291,392,0,7,71
2025-05-11,SKU03347,165,0,7,46
2025-05-11,SKU03362,242,0,7,74
2025-05-11,SKU03376,159,0,7,39
2025-05-11,SKU03441,350,0,7,71
2025-05-11,SKU03457,162,0,7,34
2025-05-11,SKU03484,175,0,7,39
2025-05-11,SKU03492,473,0,7,86
2025-05-11,SKU03583,428,0,7,87
2025-05-11,SKU03592,114,0,7,22
2025-05-11,SKU03624,199,0,7,51
2025-05-11,SKU03634,105,0,7,22
2025-05-11,SKU03642,335,0,7,79
2025-05-11,SKU03709,794,0,7,160
2025-05-11,SKU03740,349,0,7,92
2025-05-11,SKU03828,189,0,7,46
2025-05-11,SKU03905,346,0,7,70
2025-05-11,SKU04052,396,0,7,84
2025-05-11,SKU04062,196,0,7,65
2025-05-11,SKU04073,93,0,7,30
2025-05-11,SKU04144,303,0,7,90
2025-05-11,SKU04160,315,0,7,60
2025-05-11,SKU04222,347,0,7,80
2025-05-11,SKU04244,313,0,7,81
2025-05-11,SKU04292,204,0,7,39
2025-05-11,SKU04414,223,0,7,38
2025-05-11,SKU04461,183,0,7,55
2025-05-11,SKU04491,550,0,7,100
2025-05-11,SKU04566,402,0,7,97
2025-05-11,SKU04729,104,0,7,22
2025-05-11,SKU04757,275,0,7,54
2025-05-11,SKU04768,150,0,7,33
2025-05-11,SKU04854,281,0,7,51
2025-05-11,SKU04856,225,0,7,44
2025-05-11,SKU04894,146,0,7,41
2025-05-11,SKU04901,181,0,7,35
2025-05-12,SKU00012,94,0,7,30
2025-05-12,SKU00069,274,0,7,59
2025-05-12,SKU00105,566,0,7,133
2025-05-12,SKU00127,353,0,7,86
2025-05-12,SKU00150,146,0,7,31
2025-05-12,SKU00237,155,0,7,34
2025-05-12,SKU00305,301,0,7,93
2025-05-12,SKU00317,192,0,7,48
2025-05-12,SKU00342,288,0,7,61
2025-05-12,SKU00354,1101,0,7,221
2025-05-12,SKU00419,276,0,7,53
2025-05-12,SKU00421,118,0,7,36
2025-05-12,SKU00449,181,0,7,31
2025-05-12,SKU00462,115,0,7,21
2025-05-12,SKU00466,146,0,7,36
2025-05-12,SKU00498,82,0,7,25
2025-05-12,SKU00502,397,0,7,96
2025-05-12,SKU00507,362,0,7,96
2025-05-12,SKU00550,246,0,7,43
2025-05-12,SKU00638,233,0,7,59
2025-05-12,SKU00649,311,0,7,85
2025-05-12,SKU00650,790,0,7,161
2025-05-12,SKU00734,330,0,7,69
2025-05-12,SKU00837,319,0,7,99
2025-05-12,SKU00965,310,0,7,58
2025-05-12,SKU00991,350,0,7,65
2025-05-12,SKU01042,429,0,7,96
2025-05-12,SKU01052,192,0,7,63
2025-05-12,SKU01070,191,0,7,34
2025-05-12,SKU01112,195,0,7,52
2025-05-12,SKU01187,471,0,7,88
2025-05-12,SKU01200,207,0,7,41
2025-05-12,SKU01337,258,0,7,73
2025-05-12,SKU01339,276,0,7,53
2025-05-12,SKU01407,92,0,7,28
2025-05-12,SKU01413,390,0,7,83
2025-05-12,SKU01428,414,0,7,86
2025-05-12,SKU01433,199,0,7,38
2025-05-12,SKU01582,237,0,7,50
2025-05-12,SKU01645,428,0,7,96
2025-05-12,SKU01649,299,0,7,79
2025-05-12,SKU01717,286,0,7,50
2025-05-12,SKU01770,484,0,7,97
2025-05-12,SKU01790,318,0,7,89
2025-05-12,SKU01818,194,0,7,55
2025-05-12,SKU01827,278,0,7,61
2025-05-12,SKU01874,523,0,7,124
2025-05-12,SKU01880,323,0,7,70
2025-05-12,SKU01939,227,0,7,55
2025-05-12,SKU02014,358,0,7,69
2025-05-12,SKU02075,191,0,7,37
2025-05-12,SKU02267,186,0,7,40
2025-05-12,SKU02351,464,0,7,86
2025-05-12,SKU02376,365,0,7,69
2025-05-12,SKU02421,75,0,7,21
2025-05-12,SKU02436,323,0,7,68
2025-05-12,SKU02472,84,0,7,21
2025-05-12,SKU02519,211,0,7,64
2025-05-12,SKU02520,850,0,7,159
2025-05-12,SKU02534,122,0,7,35
2025-05-12,SKU02580,366,0,7,94
2025-05-12,SKU03031,319,0,7,70
2025-05-12,SKU03036,89,0,7,29
2025-05-12,SKU03089,283,0,7,78
2025-05-12,SKU03090,165,0,7,44
2025-05-12,SKU03092,252,0,7,44
2025-05-12,SKU03108,288,0,7,71
2025-05-12,SKU03139,320,0,7,59
2025-05-12,SKU03192,169,0,7,40
2025-05-12,SKU03210,364,0,7,99
2025-05-12,SKU03281,367,0,7,73
2025-05-12,SKU03290,440,0,7,75
2025-05-12,SKU03311,481,0,7,97
2025-05-12,SKU03416,130,0,7,24
2025-05-12,SKU03428,530,0,7,127
2025-05-12,SKU03548,203,0,7,67
2025-05-12,SKU03583,244,0,7,67
2025-05-12,SKU03619,330,0,7,65
2025-05-12,SKU03621,236,0,7,44
2025-05-12,SKU03807,771,0,7,183
2025-05-12,SKU03966,329,0,7,84
2025-05-12,SKU04048,177,0,7,41
2025-05-12,SKU04106,672,0,7,123
